Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2000","2000","ha","860979","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2000","2000","kg/ha","9016","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2000","2000","t","7762582","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2001","2001","ha","861343","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2001","2001","kg/ha","8388.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2001","2001","t","7225357","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2002","2002","ha","861575","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2002","2002","kg/ha","7954.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2002","2002","t","6853482","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2003","2003","ha","851208","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2003","2003","kg/ha","7409.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2003","2003","t","6307112","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2004","2004","ha","851970","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2004","2004","kg/ha","8879.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2004","2004","t","7564902","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2005","2005","ha","854824","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2005","2005","kg/ha","7943.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2005","2005","t","6790215","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2006","2006","ha","885165","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2006","2006","kg/ha","7656.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2006","2006","t","6776880","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2007","2007","ha","828885","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2007","2007","kg/ha","7261.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2007","2007","t","6019056","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2008","2008","ha","814697","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2008","2008","kg/ha","7388.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2008","2008","t","6019149","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2009","2009","ha","796128","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2009","2009","kg/ha","7664","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2009","2009","t","6101525","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2010","2010","ha","771530","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2010","2010","kg/ha","7638.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2010","2010","t","5893530","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2011","2011","ha","764164","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2011","2011","kg/ha","8690.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2011","2011","t","6640980","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2012","2012","ha","760804","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2012","2012","kg/ha","7077.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2012","2012","t","5384561","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2013","2013","ha","760546","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2013","2013","kg/ha","7285.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2013","2013","t","5540835","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2014","2014","ha","757339","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2014","2014","kg/ha","8193","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2014","2014","t","6204909","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2015","2015","ha","752101","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2015","2015","kg/ha","8321.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2015","2015","t","6258363","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2016","2016","ha","751366","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2016","2016","kg/ha","8022.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2016","2016","t","6027505.7","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2017","2017","ha","750463","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2017","2017","kg/ha","6677.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2017","2017","t","5011053.7","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2018","2018","ha","750620","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2018","2018","kg/ha","8350.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2018","2018","t","6267790","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2019","2019","ha","755470","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2019","2019","kg/ha","7266.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2019","2019","t","5489650","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2020","2020","ha","759590","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2020","2020","kg/ha","7711.9","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2020","2020","t","5857870","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2021","2021","ha","757830","A","Official figure",""
